zooID	i	latit	longit	type	scinam	Nestbuilding 	Courtshipfeeding 	Incubation	FeedingOffspring 	Precocilaity 	family	order_	genus	brange_area	clutch_size	generation_length	territoriality	social_bond	migr_dist	lab_method	ep_offspring	wp_offspring	ep_broods	wp_broods	X	Y	rel_latitude	rel_distance	Realm	seasonality	n_epy	n_epb	prop_epb	prop_epo
2	1	-42.376	173.616	1	acanthisitta_chloris	NA	NA	NA	NA	NA	acanthisittidae	passeriformes	acanthisitta	1.52604E+11	4	3.5	1	2	148.713	1	0	210	0	65	14542427.64	-5272842.872	0.204820384	0.191425723	Australian	0.701907456	210	65	0	0
2	2	-35.279	149.109	1	acanthiza_pusilla	NA	NA	NA	NA	NA	acanthizidae	passeriformes	acanthiza	1.13579E+12	3	5.7	2	2	306.555	0	11	167	8	59	12958650.55	-4471083.978	0.330984066	0.536683417	Australian	0.514187098	178	67	0.119402985	0.061797753
4	3	43.031	-88.09	1	accipiter_cooperii	NA	NA	NA	NA	NA	accipitridae	accipitriformes	accipiter	8.40236E+12	4	7.2	1	2	1168.84	1	27	113	15	29	-7350461.014	5344189.314	0.378093682	0.06653426	Nearctic	1.114391088	140	44	0.340909091	0.192857143
8	4	55.942	-3.193	1	accipiter_nisus	17.0  	100.0  	0.0  	70.1  	0  	accipitridae	accipitriformes	accipiter	2.35585E+13	5	7.2	1	2	2989.57	0	2	37	2	8	-243097.6396	6639746.947	0.472125717	0.027944112	Palearctic	0.994722724	39	10	0.2	0.051282051
8	5	59.177	15.398	1	acrocephalus_arundinaceus	0.0  	0.0  	0.0  	48.9  	0  	sylviidae	passeriformes	acrocephalus	9.3234E+12	4	4.2	1	0	4849.75	1	18	596	9	136	1139427.248	6926098.104	0.841326241	0.087128713	Palearctic	1.256726742	614	145	0.062068966	0.029315961
8	6	59.177	15.398	1	acrocephalus_arundinaceus	NA	NA	NA	NA	NA	sylviidae	passeriformes	acrocephalus	NA	NA	NA	NA	NA	NA	0	23	655	10	152	1139427.248	6926098.104	0.841326241	0.087128713	Palearctic	1.256726742	678	162	0.061728395	0.033923304
8	7	49.667	10.85	1	acrocephalus_arundinaceus	NA	NA	NA	NA	NA	sylviidae	passeriformes	acrocephalus	NA	NA	NA	NA	NA	NA	0	19	175	5	43	867218.5104	6038142.122	0.41529403	0.036633663	Palearctic	0.999284923	194	48	0.104166667	0.097938144
11	8	36.867	138.583	1	acrocephalus_bistrigiceps	NA	NA	NA	NA	NA	sylviidae	passeriformes	acrocephalus	4.17207E+12	5	4.4	1	1	2620.86	1	9	131	5	32	11953278.32	4654779.684	-0.336578462	0.24	Sino-Japanese	0.900447726	140	37	0.135135135	0.064285714
8	9	47.929	16.766	0	acrocephalus_melanopogon	NA	NA	NA	NA	NA	sylviidae	passeriformes	acrocephalus	2.30539E+12	4	4.4	1	1	1298.75	0	14	50	9	16	1356329.763	5861732.3	0.860155955	0.12337011	Palearctic	1.036765218	64	25	0.36	0.21875
8	10	50.367	10.75	1	acrocephalus_palustris	NA	NA	NA	NA	NA	sylviidae	passeriformes	acrocephalus	5.98951E+12	4	4.4	1	2	6943.4	0	4	127	3	30	854921.046	6108051.878	0.04243762	0.680485339	Palearctic	1.050277948	131	33	0.090909091	0.030534351
8	11	59.177	15.398	1	acrocephalus_schoenobaenus	0.0  	0.0  	0.0  	59.1  	0  	sylviidae	passeriformes	acrocephalus	1.19412E+13	5	3.6	1	1	5417.7	0	15	186	10	34	1139427.248	6926098.104	0.450396124	0.314	Palearctic	1.256726742	201	44	0.227272727	0.074626866
8	12	51.466	-0.55	1	acrocephalus_schoenobaenus	NA	NA	NA	NA	NA	sylviidae	passeriformes	acrocephalus	NA	NA	NA	NA	NA	NA	1	34	369	16	69	-43388.0561	6216446.73	0.011194487	0.07	Palearctic	0.868786991	403	85	0.188235294	0.084367246
8	13	52.31	0.291	1	acrocephalus_scirpaceus	NA	NA	NA	NA	NA	sylviidae	passeriformes	acrocephalus	1.5142E+13	4	4.3	1	1	4222.12	1	3	54	3	13	22810.3861	6298533.823	1.896071473	0.331678252	Palearctic	1.07855916	57	16	0.1875	0.052631579
8	14	51.504	17.11	1	acrocephalus_scirpaceus	NA	NA	NA	NA	NA	sylviidae	passeriformes	acrocephalus	NA	NA	NA	NA	NA	NA	1	105	681	55	204	1349379.955	6220164.415	1.874896363	0.421052632	Palearctic	1.093225598	786	259	0.212355212	0.133587786
8	15	48.053	17.594	1	acrocephalus_scirpaceus	NA	NA	NA	NA	NA	sylviidae	passeriformes	acrocephalus	NA	NA	NA	NA	NA	NA	1	20	33	8	6	1422116.201	5874449.671	1.781485585	0.397219464	Palearctic	1.131774545	53	14	0.571428571	0.377358491
6	16	-4.331	55.662	0	acrocephalus_sechellensis	NA	NA	NA	NA	NA	sylviidae	passeriformes	acrocephalus	1566020.493	1	7.6	2	2	4.60751	1	411	579	18	27	5226643.422	-570588.4341	0.675341899	0.876	Oceania	0.127905682	990	45	0.4	0.415151515
6	17	-24.34	-128.333	0	acrocephalus_taiti	NA	NA	NA	NA	NA	sylviidae	passeriformes	acrocephalus	41011752.81	2	6.9	2	2	0	0	2	27	2	11	-11630475.82	-3150064.955	-0.513630703	0.504504505	Oceania	0.250410169	29	13	0.153846154	0.068965517
8	18	57.783	12.317	1	actitis_hypoleucos	NA	NA	NA	NA	NA	scolopacidae	charadriiformes	actitis	2.57257E+13	4	6.8	1	1	4825.59	0	1	52	1	14	922962.8488	6804830.724	0.493616876	0.106490872	Palearctic	1.103121758	53	15	0.066666667	0.018867925
8	19	55.7	-3.033	1	actitis_hypoleucos	NA	NA	NA	NA	NA	scolopacidae	charadriiformes	actitis	NA	NA	NA	NA	NA	NA	0	13	70	5	22	-231385.7279	6617641.463	0.399977586	0.082150101	Palearctic	0.994722724	83	27	0.185185185	0.156626506
4	20	47.151	-94.417	1	actitis_macularius	NA	NA	NA	NA	NA	scolopacidae	charadriiformes	actitis	1.3563E+13	4	5.8	1	1	4139.83	0	1	33	1	8	-7678025.5	5781491.193	-0.076019971	0.531468531	Nearctic	1.284526467	34	9	0.111111111	0.029411765
8	21	53.382	-1.563	0	aegithalos_caudatus	NA	NA	NA	NA	NA	aegithalidae	passeriformes	aegithalos	1.8206E+13	10	4.2	1	1	1315.16	1	9	279	5	33	-121503.9895	6401308.978	0.345739179	0.304	Palearctic	0.975605965	288	38	0.131578947	0.03125
11	22	31.95	114.25	0	aegithalos_concinnus	NA	NA	NA	NA	NA	aegithalidae	passeriformes	aegithalos	2.80837E+12	4	4.2	1	2	508.576	1	21	362	10	54	10075018.95	4078776.451	0.552946319	0.022132797	Sino-Japanese	0.904869556	383	64	0.15625	0.054830287
11	23	31.95	114.25	0	aegithalos_glaucogularis	NA	NA	NA	NA	NA	aegithalidae	passeriformes	aegithalos	1.79998E+12	7	4.2	1	2	900	1	NA	NA	17	46	10075018.95	4078776.451	-0.028942615	0.883233533	Sino-Japanese	0.904869556	NA	63	0.26984127	NA
8	24	63	23	1	aegolius_funereus	0.0  	100.0  	0.0  	67.8  	0  	strigidae	strigiformes	aegolius	2.35351E+13	5	5.8	1	2	1503.01	1	NA	NA	1	39	1640209.588	7241130.034	0.716942704	0.187686197	Palearctic	1.295503497	NA	40	0.025	NA
